C	1726681	Start menu	2020-06-29 22:52:26.709818
M	1726915	Start menu	2020-06-29 22:52:26.941831
D	1727118	Start menu	2020-06-29 22:52:27.145843
Return	1729380	Start menu	2020-06-29 22:52:29.405972
Lwin	1738459	kr	2020-06-29 22:52:38.491492
G	1739411	Start menu	2020-06-29 22:52:39.437546
O	1739613	Start menu	2020-06-29 22:52:39.634557
O	1739863	Start menu	2020-06-29 22:52:39.884572
G	1740362	Start menu	2020-06-29 22:52:40.381600
L	1740815	Start menu	2020-06-29 22:52:40.838626
E	1741251	Start menu	2020-06-29 22:52:41.281651
Return	1742780	Start menu	2020-06-29 22:52:42.811739
G	1746649	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:46.667959
I	1746867	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:46.888972
T	1747070	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:47.093984
H	1747398	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:47.427003
U	1747663	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:47.689018
B	1749098	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:49.119100
Oem_Period	1753108	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:53.135329
C	1753950	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:53.970377
O	1754137	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:54.155388
M	1754418	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:54.448405
Return	1755292	‫כרטיסייה חדשה - Google Chrome‬	2020-06-29 22:52:55.309454
S	2101988	Start menu	2020-06-29 22:58:42.016561
D	2102160	Start menu	2020-06-29 22:58:42.181570
F	2102160	Start menu	2020-06-29 22:58:42.186570
G	2102441	Start menu	2020-06-29 22:58:42.459586
Back	2107589	Start menu	2020-06-29 22:58:47.604880
Back	2107807	Start menu	2020-06-29 22:58:47.824893
Back	2107963	Start menu	2020-06-29 22:58:47.979902
Back	2108119	Start menu	2020-06-29 22:58:48.139911
Back	2108275	Start menu	2020-06-29 22:58:48.295920
T	717174894	kr	2020-07-12 23:48:51.522245
E	717174987	t - kr	2020-07-12 23:48:51.628251
S	717175190	te - kr	2020-07-12 23:48:51.830262
T	717175346	tes - kr	2020-07-12 23:48:51.979271
Back	717178622	test - Search Results in kr	2020-07-12 23:48:55.262458
Back	717178794	test - Search Results in kr	2020-07-12 23:48:55.434468
Back	717178981	test - Search Results in kr	2020-07-12 23:48:55.607478
Back	717179262	test - Search Results in kr	2020-07-12 23:48:55.891494
Lcontrol	717198731	192.168.1.33 - Notepad	2020-07-12 23:49:15.369609
A	717198949	192.168.1.33 - Notepad	2020-07-12 23:49:15.582621
Back	717199589	192.168.1.33 - Notepad	2020-07-12 23:49:16.217657
Lcontrol	717199963	192.168.1.33 - Notepad	2020-07-12 23:49:16.603679
S	717200275	192.168.1.33 - Notepad	2020-07-12 23:49:16.911697
Lwin	778288925	C:\Users\admin\AppData\Local\Programs\Python\Python38-32\python.exe	2020-09-01 17:46:25.564230
H	778289674	Start menu	2020-09-01 17:46:26.302824
I	778290017	Start menu	2020-09-01 17:46:26.652868
